AreaCode,Year,Litres
ISL,2016,7.5
ISL,2017,7.7
ISL,2018,7.7
ISL,2019,7.4
ISL,2020,7.4
IND,1961,0.7
IND,1962,0.7
IND,1963,0.6
IND,1964,0.7
IND,1965,0.6
IND,1966,0.7
IND,1967,0.7
IND,1968,0.8
IND,1969,0.9
IND,1970,0.8
IND,1971,0.9
IND,1972,0.9
IND,1973,1.0
IND,1974,1.0
IND,1975,1.0
IND,1976,1.1
IND,1977,1.1
IND,1978,1.1
IND,1979,1.1
IND,1980,1.1
IND,1981,1.1
IND,1982,1.2
IND,1983,1.2
IND,1984,1.2
IND,1985,1.3
IND,1986,1.3
IND,1987,1.5
IND,1988,1.6
IND,1989,1.7
IND,1990,1.7
IND,1991,1.8
IND,1992,1.6
IND,1993,1.8
IND,1994,1.7
IND,1995,1.8
IND,1996,1.9
IND,1997,1.5
IND,1998,1.4
IND,1999,1.7
IND,2000,0.9
IND,2001,1.0
IND,2002,1.1
IND,2003,1.2
IND,2004,1.2
IND,2005,1.3
IND,2006,1.4
IND,2007,1.6
IND,2008,1.9
IND,2009,2.5
IND,2010,2.7
IND,2011,2.9
IND,2012,3.0
IND,2013,3.0
IND,2014,3.0
IND,2015,3.0
IND,2016,2.9
IND,2017,2.9
IND,2018,3.0
IND,2019,3.0
IND,2020,2.4
IDN,1961,0.0
IDN,1962,0.0
IDN,1963,0.0
IDN,1964,0.0
IDN,1965,0.0
IDN,1966,0.0
IDN,1967,0.0
IDN,1968,0.0
IDN,1969,0.0
IDN,1970,0.1
IDN,1971,0.1
IDN,1972,0.1
IDN,1973,0.1
IDN,1974,0.1
IDN,1975,0.1
IDN,1976,0.1
IDN,1977,0.1
IDN,1978,0.1
IDN,1979,0.1
IDN,1980,0.1
IDN,1981,0.1
IDN,1982,0.1
IDN,1983,0.1
IDN,1984,0.1
IDN,1985,0.1
IDN,1986,0.1
IDN,1987,0.1
IDN,1988,0.1
IDN,1989,0.1
IDN,1990,0.1
IDN,1991,0.1
IDN,1992,0.1
IDN,1993,0.1
IDN,1994,0.1
IDN,1995,0.1
IDN,1996,0.1
IDN,1997,0.1
